State,EventDate,Duration,Shape
IL,2013-02-13,42.0,circle
TX,2013-02-13,31.0,light
BC,2013-02-13,28.0,rectangle
NJ,2013-02-13,31.0,unknown
FL,2013-02-12,1.0,circle
CA,2013-02-12,22.0,formation
IA,2013-02-12,26.0,triangle
VA,2013-02-12,43.0,light
MT,2013-02-12,14.0,diamond
CA,2013-02-12,39.0,unknown
MA,2013-02-12,7.0,unknown
SC,2013-02-11,6.0,unknown
AZ,2013-02-11,36.0,unknown
NJ,2013-02-11,36.0,triangle
CA,2013-02-11,10.0,light
PA,2013-02-11,9.0,circle
TN,2013-02-11,12.0,formation
FL,2013-02-10,1.0,oval
FL,2013-02-10,7.0,fireball
OH,2013-02-10,18.0,sphere
TN,2013-02-10,22.0,triangle
CA,2013-02-10,25.0,circle
NJ,2013-02-10,43.0,light
CA,2013-02-10,45.0,sphere
WA,2013-02-09,14.0,fireball
CA,2013-02-09,39.0,fireball
FL,2013-02-09,23.0,circle
HI,2013-02-09,42.0,fireball
CA,2013-02-09,30.0,circle
SC,2013-02-09,13.0,oval
CA,2013-02-09,6.0,light
MD,2013-02-09,40.0,flash
CO,2013-02-09,3.0,circle
GA,2013-02-09,24.0,formation
IL,2013-02-08,8.0,formation
FL,2013-02-08,30.0,circle
WA,2013-02-08,40.0,unknown
FL,2013-02-08,17.0,diamond
WI,2013-02-08,2.0,formation
CA,2013-02-08,42.0,light
CA,2013-02-08,23.0,circle
TN,2013-02-08,49.0,triangle
MT,2013-02-07,31.0,unknown
BC,2013-02-07,32.0,triangle
MS,2013-02-07,18.0,diamond
WA,2013-02-07,20.0,sphere
TX,2013-02-07,11.0,oval
UT,2013-02-06,24.0,light
IL,2013-02-06,15.0,circle
TN,2013-02-06,28.0,unknown
FL,2013-02-06,45.0,unknown
ON,2013-02-06,41.0,oval
SC,2013-02-06,45.0,light
CA,2013-02-06,40.0,triangle
OR,2013-02-06,37.0,triangle
VT,2013-02-06,6.0,unknown
ME,2013-02-06,36.0,chevron
VT,2013-02-06,2.0,formation
VT,2013-02-06,5.0,formation
VT,2013-02-06,20.0,formation
VT,2013-02-06,21.0,light
IL,2013-02-06,7.0,circle
NY,2013-02-06,9.0,light
NH,2013-02-05,9.0,unknown
LA,2013-02-05,7.0,light
WA,2013-02-05,3.0,sphere
RI,2013-02-05,23.0,cigar
NM,2013-02-05,31.0,changing
NJ,2013-02-04,30.0,light
NY,2013-02-04,15.0,cylinder
NH,2013-02-04,41.0,diamond
TX,2013-02-04,17.0,changing
NC,2013-02-04,47.0,light
MA,2013-02-04,1.0,circle
NC,2013-02-04,44.0,unknown
FL,2013-02-03,44.0,light
FL,2013-02-03,17.0,fireball
CA,2013-02-03,44.0,unknown
CA,2013-02-03,24.0,fireball
AL,2013-02-03,35.0,unknown
AL,2013-02-03,19.0,triangle
CA,2013-02-03,3.0,sphere
MA,2013-02-03,12.0,triangle
LA,2013-02-03,32.0,unknown
NC,2013-02-03,27.0,sphere
ID,2013-02-03,5.0,unknown
FL,2013-02-02,2.0,circle
TX,2013-02-02,38.0,formation
OR,2013-02-02,2.0,triangle
TX,2013-02-02,5.0,light
WV,2013-02-02,3.0,circle
OR,2013-02-02,14.0,circle
IL,2013-02-02,24.0,light
CA,2013-02-02,16.0,sphere
TX,2013-02-02,15.0,unknown
NY,2013-02-02,18.0,diamond
NV,2013-02-02,23.0,unknown
NJ,2013-02-02,49.0,light
HI,2013-02-01,11.0,unknown
CO,2013-02-01,35.0,cone
TX,2013-02-01,34.0,circle
NC,2013-02-01,19.0,light
UT,2013-02-01,4.0,fireball
CO,2013-02-01,36.0,triangle
OR,2013-02-01,19.0,unknown
IL,2013-02-01,25.0,disk
ON,2013-02-01,18.0,unknown
SC,2013-02-01,15.0,unknown
FL,2013-01-31,15.0,light
AL,2013-01-31,48.0,flash
AZ,2013-01-31,43.0,circle
CA,2013-01-31,49.0,flash
PA,2013-01-31,24.0,triangle
AR,2013-01-31,41.0,disk
NM,2013-01-31,6.0,light
CA,2013-01-31,18.0,triangle
WA,2013-01-31,39.0,changing
AL,2013-01-31,49.0,sphere
CA,2013-01-31,47.0,unknown
FL,2013-01-30,12.0,triangle
FL,2013-01-30,19.0,disk
FL,2013-01-30,42.0,circle
FL,2013-01-30,48.0,circle
CA,2013-01-30,31.0,sphere
NC,2013-01-30,47.0,unknown
TX,2013-01-30,11.0,changing
MD,2013-01-29,4.0,light
